,ua,insc,estado_civil,sit_lab_alumno,tipo_res_alumno,sit_lab_padres,estudios_padres
79,FCEQN,FCEQN-5547,1.0,NC,-1.0,-1,-1.0
80,FCEQN,FCEQN-5456,1.0,No,1.0,1,5.0
81,FCEQN,FCEQN-5170,1.0,Si,1.0,1,4.0
82,FCEQN,FCEQN-5595,1.0,Si,1.0,5,5.0
83,FCEQN,FCEQN-5287,1.0,Si,1.0,5,3.0
84,FCEQN,FCEQN-5682,1.0,No,1.0,1,5.0
85,FCEQN,FCEQN-5509,1.0,No,1.0,3,5.0
86,FCEQN,FCEQN-5132,2.0,1,1.0,4,5.0
87,FCEQN,FCEQN-5793,1.0,No,1.0,3,5.0
88,FCEQN,FCEQN-5406,1.0,NC,-1.0,-1,-1.0
89,FCEQN,FCEQN-5146,1.0,No,1.0,1,3.0
90,FCEQN,FCEQN-5163,2.0,NC,1.0,-1,-1.0
91,FCEQN,FCEQN-5790,1.0,No,1.0,3,3.0
92,FCEQN,FCEQN-5619,1.0,NC,-1.0,-1,-1.0
93,FCEQN,FCEQN-5521,1.0,NC,-1.0,-1,-1.0
94,FCEQN,FCEQN-5798,1.0,No,2.0,3,3.0
95,FCEQN,FCEQN-5343,1.0,No,1.0,1,5.0
96,FCEQN,FCEQN-5269,1.0,No,2.0,4,3.0
97,FCEQN,FCEQN-5194,1.0,No,1.0,3,5.0
98,FCEQN,FCEQN-5183,2.0,No,1.0,1,6.0
99,FCEQN,FCEQN-5506,1.0,1,3.0,1,5.0
100,FCEQN,FCEQN-5189,2.0,NC,-1.0,-1,-1.0
101,FCEQN,FCEQN-5171,1.0,NC,1.0,-1,-1.0
102,FCEQN,FCEQN-5640,1.0,No,4.0,3,7.0
103,FCEQN,FCEQN-5224,1.0,NC,1.0,-1,-1.0
104,FCEQN,FCEQN-5330,1.0,NC,1.0,-1,-1.0
105,FCEQN,FCEQN-5161,1.0,NC,1.0,-1,-1.0
106,FCEQN,FCEQN-5612,1.0,NC,2.0,-1,-1.0
107,FCEQN,FCEQN-5637,1.0,NC,1.0,-1,-1.0
108,FCEQN,FCEQN-5231,1.0,No,2.0,3,5.0
109,FCEQN,FCEQN-5408,1.0,NC,1.0,-1,-1.0
110,FCEQN,FCEQN-5494,1.0,NC,2.0,-1,-1.0
111,FCEQN,FCEQN-5799,1.0,NC,1.0,-1,-1.0
112,FCEQN,FCEQN-5325,1.0,NC,2.0,-1,-1.0
113,FCEQN,FCEQN-5449,1.0,Si,1.0,5,7.0
114,FCEQN,FCEQN-5306,1.0,1,2.0,5,7.0
115,FCEQN,FCEQN-5757,1.0,No,2.0,3,3.0
116,FCEQN,FCEQN-5718,1.0,NC,1.0,-1,-1.0
117,FCEQN,FCEQN-5428,1.0,No,2.0,4,5.0
118,FCEQN,FCEQN-5219,1.0,NC,1.0,-1,-1.0
119,FCEQN,FCEQN-5551,1.0,Si,1.0,4,3.0
120,FCEQN,FCEQN-5421,1.0,No,1.0,3,5.0
121,FCEQN,FCEQN-5720,1.0,NC,2.0,-1,-1.0
122,FCEQN,FCEQN-5618,1.0,No,1.0,4,3.0
123,FCEQN,FCEQN-5223,1.0,No,1.0,1,7.0
124,FCEQN,FCEQN-5220,1.0,NC,1.0,-1,-1.0
125,FCEQN,FCEQN-5346,1.0,No,1.0,1,5.0
126,FCEQN,FCEQN-5136,1.0,Si,3.0,3,3.0
127,FCEQN,FCEQN-5138,1.0,NC,1.0,-1,-1.0
128,FCEQN,FCEQN-5158,1.0,NC,1.0,1,3.0
129,FCEQN,FCEQN-5248,1.0,NC,1.0,3,3.0
130,FCEQN,FCEQN-5429,1.0,NC,-1.0,-1,-1.0
131,FCEQN,FCEQN-5205,1.0,NC,1.0,-1,-1.0
132,FCEQN,FCEQN-5468,1.0,NC,2.0,-1,3.0
133,FCEQN,FCEQN-5712,1.0,NC,2.0,1,5.0
134,FCEQN,FCEQN-5656,1.0,NC,2.0,-1,-1.0
135,FCEQN,FCEQN-5204,1.0,NC,-1.0,-1,-1.0
136,FCEQN,FCEQN-5115,1.0,NC,2.0,3,3.0
137,FCEQN,FCEQN-5725,1.0,NC,-1.0,-1,-1.0
138,FCEQN,FCEQN-5486,1.0,NC,-1.0,-1,-1.0
139,FCEQN,FCEQN-5135,1.0,No,1.0,3,7.0
140,FCEQN,FCEQN-5734,1.0,NC,1.0,-1,-1.0
141,FCEQN,FCEQN-5697,1.0,NC,-1.0,-1,-1.0
142,FCEQN,FCEQN-5622,1.0,NC,-1.0,-1,-1.0
143,FCEQN,FCEQN-5487,1.0,NC,-1.0,-1,-1.0
144,FCEQN,FCEQN-5336,1.0,NC,-1.0,-1,-1.0
145,FCEQN,FCEQN-5654,1.0,NC,1.0,3,5.0
146,FCEQN,FCEQN-5111,1.0,NC,-1.0,-1,-1.0
147,FCEQN,FCEQN-5802,1.0,NC,-1.0,-1,-1.0
148,FCEQN,FCEQN-5235,1.0,NC,-1.0,-1,-1.0
149,FCEQN,FCEQN-5357,1.0,NC,-1.0,-1,-1.0
150,FCEQN,FCEQN-5402,1.0,NC,1.0,-1,-1.0
151,FCEQN,FCEQN-5122,1.0,NC,-1.0,-1,-1.0
152,FCEQN,FCEQN-5113,1.0,NC,-1.0,-1,-1.0
153,FCEQN,FCEQN-5179,1.0,NC,2.0,1,5.0
154,FCEQN,FCEQN-4460,1.0,NC,-1.0,-1,-1.0
155,FCEQN,FCEQN-5606,1.0,NC,-1.0,-1,-1.0
156,FCEQN,FCEQN-5555,1.0,NC,-1.0,-1,-1.0
157,FCEQN,FCEQN-5214,1.0,NC,-1.0,-1,-1.0
158,FCEQN,FCEQN-5762,1.0,NC,-1.0,3,2.0
159,FCEQN,FCEQN-5631,1.0,NC,-1.0,1,5.0
160,FCEQN,FCEQN-5598,1.0,NC,-1.0,-1,-1.0
161,FCEQN,FCEQN-5700,1.0,NC,-1.0,-1,-1.0
162,FCEQN,FCEQN-5564,1.0,NC,-1.0,1,3.0
163,FCEQN,FCEQN-5561,1.0,NC,1.0,1,5.0
164,FCEQN,FCEQN-5359,1.0,NC,2.0,3,5.0
165,FCEQN,FCEQN-5267,1.0,NC,-1.0,-1,-1.0
166,FCEQN,FCEQN-5251,1.0,NC,2.0,3,3.0
167,FCEQN,FCEQN-5592,1.0,NC,-1.0,-1,-1.0
168,FCEQN,FCEQN-5516,1.0,NC,1.0,-1,-1.0
169,FCEQN,FCEQN-5388,1.0,NC,1.0,3,5.0
170,FCEQN,FCEQN-5293,1.0,NC,2.0,1,7.0
171,FCEQN,FCEQN-5694,1.0,NC,-1.0,-1,-1.0
172,FCEQN,FCEQN-5230,1.0,NC,-1.0,-1,-1.0
173,FCEQN,FCEQN-5147,1.0,NC,1.0,-1,-1.0
174,FCEQN,FCEQN-5335,1.0,NC,-1.0,-1,-1.0
175,FCEQN,FCEQN-5455,1.0,NC,-1.0,1,5.0
176,FCEQN,FCEQN-5483,1.0,NC,-1.0,-1,-1.0
177,FCEQN,FCEQN-5279,1.0,NC,1.0,1,5.0
178,FCEQN,FCEQN-5805,1.0,NC,-1.0,-1,-1.0
179,FCEQN,2920,1.0,NC,-1.0,3,5.0
180,FCEQN,1024,1.0,NC,-1.0,-1,-1.0
181,FCEQN,FCEQN-5724,1.0,NC,-1.0,1,5.0
182,FCEQN,FCEQN-5188,1.0,NC,1.0,1,3.0
183,FCEQN,FCEQN-5137,1.0,NC,-1.0,-1,-1.0
184,FCEQN,FCEQN-5198,1.0,NC,1.0,1,5.0
185,FCEQN,5107,1.0,NC,-1.0,-1,-1.0
186,FCEQN,FCEQN-5807,1.0,NC,1.0,1,5.0
187,FCEQN,FCEQN-5746,1.0,NC,-1.0,-1,-1.0
188,FCEQN,FCEQN-5733,1.0,NC,-1.0,-1,-1.0
189,FCEQN,FCEQN-5808,1.0,NC,-1.0,-1,-1.0
190,FCEQN,FCEQN-5129,1.0,NC,-1.0,3,5.0
191,FCEQN,FCEQN-5284,1.0,NC,2.0,1,3.0
192,FCEQN,FCEQN-5363,2.0,NC,1.0,3,3.0
193,FCEQN,FCEQN-5433,1.0,NC,-1.0,1,5.0
194,FCEQN,FCEQN-5531,1.0,NC,-1.0,3,3.0
195,FCEQN,FCEQN-3536,1.0,NC,-1.0,-1,-1.0
196,FCEQN,FCEQN-1751,1.0,NC,-1.0,3,5.0
197,FCEQN,FCEQN-758,1.0,NC,2.0,5,1.0
198,FCEQN,FCEQN-4512,1.0,NC,-1.0,-1,-1.0
199,FCEQN,FCEQN-4,1.0,NC,-1.0,-1,-1.0
200,FCEQN,FCEQN-4889,1.0,NC,-1.0,1,5.0
201,FCEQN,FCEQN-5814,1.0,NC,1.0,3,5.0
202,FCEQN,4470,1.0,NC,1.0,1,7.0
203,FCEQN,4865,1.0,NC,-1.0,3,5.0
204,FCEQN,3260,1.0,NC,-1.0,-1,-1.0
205,FCEQN,FCEQN-600,1.0,NC,-1.0,-1,-1.0
206,FCEQN,FCEQN-5686,1.0,NC,1.0,-1,-1.0
207,FCEQN,309,1.0,NC,-1.0,-1,-1.0
208,FCEQN,FCEQN-5773,1.0,NC,-1.0,1,5.0
209,FCEQN,FCEQN-5342,1.0,NC,1.0,3,5.0
210,FCEQN,FCEQN-5504,1.0,NC,1.0,3,7.0
211,FCEQN,FCEQN-5250,1.0,NC,1.0,1,5.0
212,FCEQN,FCEQN-5155,1.0,NC,-1.0,-1,-1.0
213,FCEQN,FCEQN-5232,1.0,NC,-1.0,-1,-1.0
214,FCEQN,FCEQN-5148,1.0,NC,1.0,-1,-1.0
215,FCEQN,FCEQN-5478,1.0,NC,-1.0,-1,-1.0
216,FCEQN,FCEQN-5713,1.0,NC,-1.0,-1,-1.0
217,FCEQN,FCEQN-5317,1.0,NC,-1.0,-1,-1.0
218,FCEQN,FCEQN-5458,1.0,NC,-1.0,-1,-1.0
219,FCEQN,FCEQN-5321,2.0,NC,1.0,-1,-1.0
220,FCEQN,FCEQN-5418,1.0,NC,-1.0,-1,-1.0
221,FCEQN,FCEQN-5153,1.0,NC,1.0,3,3.0
222,FCEQN,FCEQN-5469,1.0,NC,-1.0,-1,-1.0
223,FCEQN,FCEQN-5162,1.0,NC,1.0,3,5.0
224,FCEQN,FCEQN-5572,1.0,NC,-1.0,-1,-1.0
225,FCEQN,FCEQN-5215,1.0,NC,-1.0,-1,-1.0
226,FCEQN,FCEQN-5638,1.0,NC,-1.0,-1,-1.0
227,FCEQN,FCEQN-5241,1.0,NC,-1.0,-1,-1.0
228,FCEQN,FCEQN-5169,1.0,NC,-1.0,-1,-1.0
229,FCEQN,FCEQN-5355,1.0,NC,-1.0,-1,-1.0
230,FCEQN,1382,1.0,NC,-1.0,-1,-1.0
231,FCEQN,1767,1.0,NC,-1.0,1,7.0
232,FCEQN,FCEQN-731,1.0,NC,-1.0,1,7.0
233,FCEQN,FCEQN-604,1.0,NC,-1.0,1,3.0
234,FCEQN,FCEQN-888,1.0,NC,2.0,1,7.0
235,FCEQN,FCEQN-1434,1.0,NC,1.0,3,5.0
236,FCEQN,FCEQN-3657,1.0,NC,1.0,3,3.0
237,FCEQN,FCEQN-1618,1.0,NC,-1.0,1,5.0
238,FCEQN,FCEQN-2296,1.0,NC,-1.0,-1,-1.0
239,FCEQN,FCEQN-2298,1.0,NC,-1.0,-1,-1.0
240,FCEQN,FCEQN-2462,1.0,NC,-1.0,-1,-1.0
241,FCEQN,FCEQN-2615,1.0,NC,-1.0,3,3.0
242,FCEQN,FCEQN-2645,1.0,NC,-1.0,3,6.0
243,FCEQN,FCEQN-2721,1.0,NC,-1.0,-1,-1.0
244,FCEQN,FCEQN-3034,1.0,NC,-1.0,-1,-1.0
245,FCEQN,FCEQN-4195,1.0,NC,-1.0,1,7.0
246,FCEQN,FCEQN-4281,1.0,NC,-1.0,-1,-1.0
247,FCEQN,FCEQN-4956,1.0,NC,1.0,1,5.0
248,FCEQN,FCEQN-4958,1.0,NC,1.0,-1,-1.0
249,FCEQN,FCEQN-4987,1.0,NC,-1.0,-1,-1.0
250,FCEQN,FCEQN-5030,1.0,NC,-1.0,-1,-1.0
251,FCEQN,FCEQN-5768,1.0,NC,-1.0,-1,-1.0
252,FCEQN,FCEQN-5249,1.0,NC,-1.0,-1,-1.0
253,FCEQN,FCEQN-5538,1.0,NC,-1.0,-1,-1.0
254,FCEQN,FCEQN-5566,1.0,NC,-1.0,-1,-1.0
255,FCEQN,FCEQN-5444,1.0,NC,-1.0,-1,-1.0
256,FCEQN,FCEQN-5792,1.0,NC,-1.0,-1,-1.0
257,FCEQN,FCEQN-5645,1.0,NC,-1.0,-1,-1.0
258,FCEQN,FCEQN-5185,1.0,NC,-1.0,-1,-1.0
259,FCEQN,FCEQN-5459,1.0,NC,-1.0,-1,-1.0
260,FCEQN,FCEQN-5263,1.0,NC,-1.0,-1,-1.0
261,FCEQN,FCEQN-5318,1.0,NC,-1.0,-1,-1.0
262,FCEQN,FCEQN-5625,1.0,NC,-1.0,-1,-1.0
263,FCEQN,FCEQN-5431,1.0,NC,-1.0,-1,-1.0
264,FCEQN,FCEQN-1213,1.0,NC,-1.0,-1,-1.0
265,FCEQN,840,1.0,NC,-1.0,-1,-1.0
266,FCEQN,FCEQN-3074,1.0,NC,-1.0,-1,-1.0
267,FCEQN,FCEQN-2318,1.0,NC,-1.0,-1,-1.0
268,FCEQN,FCEQN-2623,1.0,NC,1.0,3,3.0
269,FCEQN,FCEQN-4455,2.0,NC,-1.0,3,3.0
270,FCEQN,FCEQN-4359,1.0,NC,-1.0,-1,-1.0
271,FCEQN,FCEQN-3460,1.0,NC,-1.0,-1,-1.0
272,FCEQN,FCEQN-4595,1.0,NC,1.0,3,3.0
273,FCEQN,FCEQN-4835,1.0,NC,-1.0,-1,-1.0
274,FCEQN,FCEQN-1681,1.0,NC,1.0,3,7.0
275,FCEQN,FCEQN-2653,1.0,NC,1.0,1,6.0
276,FCEQN,FCEQN-3667,1.0,NC,-1.0,-1,-1.0
277,FCEQN,FCEQN-1532,1.0,NC,-1.0,-1,-1.0
278,FCEQN,FCEQN-3467,1.0,NC,-1.0,-1,-1.0
279,FCEQN,FCEQN-1549,1.0,NC,-1.0,-1,-1.0
280,FCEQN,FCEQN-6432,1.0,NC,-1.0,-1,-1.0
281,FCEQN,FCEQN-4284,1.0,NC,-1.0,-1,-1.0
282,FCEQN,5204,1.0,NC,-1.0,-1,-1.0
283,FCEQN,FCEQN-1829,1.0,NC,-1.0,3,3.0
284,FCEQN,FCEQN-6101,1.0,NC,-1.0,-1,-1.0
285,FCEQN,FCEQN-6257,1.0,NC,-1.0,-1,-1.0
286,FCEQN,FCEQN-6148,1.0,NC,-1.0,-1,-1.0
287,FCEQN,FCEQN-6149,1.0,NC,1.0,-1,-1.0
288,FCEQN,FCEQN-5476,1.0,S,2.0,-1,4.0
289,FCEQN,FCEQN-5981,1.0,NC,-1.0,3,3.0
290,FCEQN,FCEQN-5926,1.0,NC,-1.0,-1,-1.0
291,FCEQN,FCEQN-6180,1.0,NC,-1.0,-1,-1.0
292,FCEQN,FCEQN-6158,1.0,NC,-1.0,-1,-1.0
293,FCEQN,FCEQN-5967,1.0,NC,-1.0,-1,-1.0
294,FCEQN,FCEQN-6046,1.0,NC,-1.0,-1,-1.0
295,FCEQN,FCEQN-6410,1.0,NC,2.0,3,4.0
296,FCEQN,FCEQN-5882,1.0,NC,-1.0,-1,-1.0
297,FCEQN,FCEQN-5911,1.0,NC,-1.0,-1,-1.0
298,FCEQN,FCEQN-6319,1.0,NC,2.0,3,4.0
299,FCEQN,FCEQN-5946,1.0,NC,1.0,1,3.0
300,FCEQN,FCEQN-6073,1.0,NC,1.0,3,5.0
301,FCEQN,FCEQN-6311,1.0,NC,-1.0,-1,-1.0
302,FCEQN,FCEQN-6061,1.0,NC,-1.0,-1,-1.0
303,FCEQN,FCEQN-5936,1.0,NC,1.0,3,3.0
304,FCEQN,FCEQN-5995,1.0,NC,-1.0,-1,-1.0
305,FCEQN,FCEQN-6107,1.0,NC,2.0,3,5.0
306,FCEQN,FCEQN-5948,1.0,NC,1.0,1,5.0
307,FCEQN,FCEQN-5877,1.0,NC,1.0,3,3.0
308,FCEQN,FCEQN-6125,1.0,NC,-1.0,-1,-1.0
309,FCEQN,FCEQN-5969,1.0,NC,1.0,3,5.0
310,FCEQN,FCEQN-6000,1.0,NC,-1.0,-1,-1.0
311,FCEQN,FCEQN-6066,1.0,NC,-1.0,-1,-1.0
312,FCEQN,FCEQN-6090,1.0,NC,-1.0,-1,-1.0
313,FCEQN,FCEQN-6268,1.0,NC,-1.0,-1,-1.0
314,FCEQN,FCEQN-941,1.0,NC,-1.0,-1,-1.0
315,FCEQN,FCEQN-5897,1.0,NC,1.0,3,5.0
316,FCEQN,FCEQN-5970,1.0,NC,2.0,1,7.0
317,FCEQN,FCEQN-5860,1.0,NC,1.0,3,3.0
318,FCEQN,FCEQN-5669,1.0,NC,-1.0,-1,-1.0
319,FCEQN,FCEQN-6071,1.0,NC,-1.0,-1,-1.0
320,FCEQN,FCEQN-6104,1.0,NC,1.0,-1,-1.0
321,FCEQN,FCEQN-5929,1.0,NC,-1.0,-1,-1.0
322,FCEQN,FCEQN-6151,1.0,NC,-1.0,-1,-1.0
323,FCEQN,FCEQN-6183,1.0,NC,1.0,3,7.0
324,FCEQN,FCEQN-6360,1.0,NC,-1.0,-1,-1.0
325,FCEQN,FCEQN-6114,1.0,NC,-1.0,-1,-1.0
326,FCEQN,FCEQN-5823,1.0,NC,1.0,3,3.0
327,FCEQN,FCEQN-6137,1.0,NC,-1.0,-1,-1.0
328,FCEQN,FCEQN-6152,1.0,NC,-1.0,-1,-1.0
329,FCEQN,FCEQN-6226,1.0,NC,-1.0,-1,-1.0
330,FCEQN,FCEQN-6169,1.0,NC,1.0,3,4.0
331,FCEQN,FCEQN-6129,1.0,NC,1.0,3,3.0
332,FCEQN,FCEQN-6366,1.0,NC,1.0,3,5.0
333,FCEQN,FCEQN-6342,1.0,NC,-1.0,-1,-1.0
334,FCEQN,5101,1.0,NC,-1.0,-1,-1.0
335,FCEQN,FCEQN-5978,1.0,NC,2.0,1,5.0
336,FCEQN,FCEQN-6199,1.0,NC,-1.0,-1,-1.0
337,FCEQN,FCEQN-6312,1.0,NC,-1.0,-1,-1.0
338,FCEQN,FCEQN-6448,1.0,NC,1.0,3,5.0
339,FCEQN,FCEQN-5982,1.0,NC,-1.0,3,5.0
340,FCEQN,FCEQN-6356,1.0,NC,-1.0,-1,-1.0
341,FCEQN,FCEQN-4628,1.0,NC,-1.0,-1,-1.0
342,FCEQN,FCEQN-5072,1.0,NC,-1.0,-1,-1.0
343,FCEQN,FCEQN-5210,1.0,NC,-1.0,-1,-1.0
344,FCEQN,FCEQN-5119,1.0,NC,1.0,-1,-1.0
345,FCEQN,FCEQN-5353,1.0,NC,-1.0,3,5.0
346,FCEQN,FCEQN-5225,1.0,NC,1.0,3,7.0
347,FCEQN,FCEQN-5427,1.0,NC,1.0,4,3.0
348,FCEQN,FCEQN-5879,1.0,NC,1.0,3,5.0
349,FCEQN,FCEQN-6284,1.0,NC,-1.0,-1,-1.0
350,FCEQN,FCEQN-6422,1.0,NC,-1.0,3,5.0
351,FCEQN,1451,1.0,NC,1.0,1,7.0
352,FCEQN,FCEQN-5833,1.0,NC,2.0,3,7.0
353,FCEQN,FCEQN-6326,1.0,NC,-1.0,-1,-1.0
354,FCEQN,FCEQN-5928,1.0,NC,1.0,1,5.0
355,FCEQN,FCEQN-5818,1.0,NC,-1.0,-1,-1.0
356,FCEQN,FCEQN-6038,1.0,NC,-1.0,-1,-1.0
357,FCEQN,FCEQN-6179,1.0,NC,1.0,3,3.0
358,FCEQN,FCEQN-6051,1.0,NC,-1.0,-1,-1.0
359,FCEQN,FCEQN-5985,1.0,NC,1.0,-1,-1.0
360,FCEQN,FCEQN-6339,1.0,NC,1.0,-1,-1.0
361,FCEQN,FCEQN-6464,1.0,NC,-1.0,-1,-1.0
362,FCEQN,FCEQN-6115,1.0,NC,1.0,-1,-1.0
363,FCEQN,FCEQN-6466,1.0,NC,-1.0,-1,-1.0
364,FCEQN,FCEQN-6420,1.0,NC,1.0,-1,-1.0
365,FCEQN,FCEQN-6223,1.0,NC,-1.0,-1,-1.0
366,FCEQN,FCEQN-6123,1.0,NC,1.0,3,5.0
367,FCEQN,FCEQN-5958,1.0,NC,-1.0,-1,-1.0
368,FCEQN,FCEQN-5853,1.0,NC,1.0,-1,-1.0
369,FCEQN,FCEQN-5852,1.0,NC,-1.0,-1,-1.0
370,FCEQN,FCEQN-6372,1.0,NC,-1.0,-1,-1.0
371,FCEQN,FCEQN-6250,1.0,NC,-1.0,-1,-1.0
372,FCEQN,FCEQN-5845,1.0,NC,1.0,-1,-1.0
373,FCEQN,FCEQN-5728,1.0,NC,1.0,-1,-1.0
374,FCEQN,FCEQN-6077,1.0,NC,-1.0,-1,-1.0
375,FCEQN,FCEQN-6235,1.0,NC,-1.0,3,5.0
376,FCEQN,FCEQN-6016,1.0,NC,-1.0,-1,-1.0
377,FCEQN,FCEQN-6064,1.0,NC,2.0,1,5.0
378,FCEQN,FCEQN-6063,1.0,NC,1.0,1,5.0
379,FCEQN,FCEQN-5840,1.0,NC,-1.0,-1,-1.0
380,FCEQN,FCEQN-6052,1.0,NC,-1.0,-1,-1.0
381,FCEQN,FCEQN-5827,1.0,NC,-1.0,3,5.0
382,FCEQN,FCEQN-5859,1.0,NC,-1.0,-1,-1.0
383,FCEQN,FCEQN-6237,1.0,NC,-1.0,-1,-1.0
384,FCEQN,FCEQN-6467,1.0,NC,1.0,-1,-1.0
385,FCEQN,FCEQN-5919,1.0,NC,-1.0,-1,-1.0
386,FCEQN,FCEQN-5965,1.0,NC,-1.0,-1,-1.0
387,FCEQN,FCEQN-5979,1.0,NC,1.0,1,5.0
388,FCEQN,FCEQN-6174,1.0,NC,-1.0,1,5.0
389,FCEQN,FCEQN-6455,1.0,NC,-1.0,-1,-1.0
390,FCEQN,FCEQN-5976,1.0,NC,-1.0,3,5.0
