,unidad_academica,carrera,nro_inscripcion,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso_alumno
104,FCEQN,147,FCEQN-5330,S,,A,2000,11/12/2010
105,FCEQN,147,FCEQN-5161,S,,A,2000,01/12/2010
106,FCEQN,147,FCEQN-5612,S,0,A,2000,12/15/2010
107,FCEQN,147,FCEQN-5637,S,0,A,2000,12/28/2010
108,FCEQN,106,FCEQN-5231,S,0,A,2008,04/17/2011
109,FCEQN,147,FCEQN-5408,S,0,A,2000,12/12/2010
110,FCEQN,147,FCEQN-5494,S,0,A,2000,12/13/2010
111,FCEQN,143,FCEQN-5799,S,0,A,2008,04/23/2011
112,FCEQN,147,FCEQN-5325,S,0,A,2000,11/12/2010
113,FCEQN,147,FCEQN-5449,S,0,A,2000,12/13/2010
114,FCEQN,147,FCEQN-5306,S,0,A,2000,07/12/2010
115,FCEQN,101,FCEQN-5757,S,0,A,2007,04/23/2011
116,FCEQN,104,FCEQN-5718,S,0,A,2005,02/02/2011
117,FCEQN,104,FCEQN-5428,S,0,A,2005,12/12/2010
118,FCEQN,101,FCEQN-5219,S,0,A,2007,04/18/2011
119,FCEQN,147,FCEQN-5551,S,0,A,2000,12/14/2010
120,FCEQN,101,FCEQN-5421,S,0,A,2007,04/17/2011
121,FCEQN,172,FCEQN-5720,S,0,A,2005,02/02/2011
122,FCEQN,147,FCEQN-5618,S,0,A,2000,12/18/2010
123,FCEQN,172,FCEQN-5223,S,0,P,2005,05/12/2010
124,FCEQN,143,FCEQN-5220,S,0,A,2008,04/24/2011
125,FCEQN,104,FCEQN-5346,S,0,A,2005,11/12/2010
126,FCEQN,147,FCEQN-5136,S,0,A,2000,11/30/2010
127,FCEQN,147,FCEQN-5138,S,0,A,2000,11/30/2010
128,FCEQN,147,FCEQN-5158,S,0,A,2000,01/12/2010
129,FCEQN,147,FCEQN-5248,S,0,A,2000,05/12/2010
130,FCEQN,147,FCEQN-5429,S,0,A,2000,12/12/2010
131,FCEQN,104,FCEQN-5205,S,0,A,2005,04/12/2010
132,FCEQN,101,FCEQN-5468,S,0,A,2007,04/24/2011
133,FCEQN,147,FCEQN-5712,S,0,A,2000,02/02/2011
134,FCEQN,104,FCEQN-5656,S,0,A,2005,01/30/2011
135,FCEQN,104,FCEQN-5204,S,0,A,2005,04/12/2010
136,FCEQN,147,FCEQN-5115,S,0,A,2000,11/28/2010
137,FCEQN,147,FCEQN-5725,S,0,A,2000,02/02/2011
138,FCEQN,147,FCEQN-5486,S,0,A,2000,12/13/2010
139,FCEQN,147,FCEQN-5135,S,0,A,2000,11/30/2010
140,FCEQN,147,FCEQN-5734,S,0,A,2000,05/02/2011
141,FCEQN,172,FCEQN-5697,S,0,A,2005,01/02/2011
142,FCEQN,147,FCEQN-5622,S,0,A,2000,12/18/2010
143,FCEQN,102,FCEQN-5487,S,0,A,2005,12/13/2010
144,FCEQN,172,FCEQN-5336,S,0,A,2005,11/12/2010
145,FCEQN,104,FCEQN-5654,S,0,A,2005,01/30/2011
146,FCEQN,104,FCEQN-5111,S,0,A,2005,11/28/2010
147,FCEQN,172,FCEQN-5802,S,0,A,2005,04/25/2011
148,FCEQN,102,FCEQN-5235,S,0,A,2005,05/12/2010
149,FCEQN,172,FCEQN-5357,S,0,A,2005,11/12/2010
150,FCEQN,172,FCEQN-5402,S,0,A,2005,12/12/2010
151,FCEQN,172,FCEQN-5122,S,0,A,2005,11/29/2010
152,FCEQN,104,FCEQN-5113,S,0,A,2005,11/28/2010
153,FCEQN,101,FCEQN-5179,S,0,A,2007,04/26/2011
154,FCEQN,170,FCEQN-4460,S,0,A,2005,02/03/2011
155,FCEQN,101,FCEQN-5606,S,0,A,2007,04/26/2011
156,FCEQN,104,FCEQN-5555,S,0,A,2005,12/14/2010
157,FCEQN,104,FCEQN-5214,S,0,A,2005,04/12/2010
158,FCEQN,172,FCEQN-5762,S,0,A,2005,02/15/2011
159,FCEQN,147,FCEQN-5631,S,0,A,2000,12/20/2010
160,FCEQN,147,FCEQN-5598,S,0,A,2000,12/15/2010
161,FCEQN,147,FCEQN-5700,S,0,A,2000,01/02/2011
162,FCEQN,106,FCEQN-5564,S,0,A,2008,04/27/2011
163,FCEQN,147,FCEQN-5561,S,0,A,2000,12/14/2010
164,FCEQN,104,FCEQN-5359,S,0,A,2005,11/12/2010
165,FCEQN,172,FCEQN-5267,S,0,A,2005,06/12/2010
166,FCEQN,172,FCEQN-5251,S,0,A,2005,05/12/2010
167,FCEQN,147,FCEQN-5592,S,0,A,2000,12/15/2010
168,FCEQN,147,FCEQN-5516,S,0,A,2000,12/14/2010
169,FCEQN,172,FCEQN-5388,S,0,A,2005,12/12/2010
170,FCEQN,147,FCEQN-5293,S,0,A,2000,07/12/2010
171,FCEQN,102,FCEQN-5694,S,0,A,2005,01/02/2011
172,FCEQN,147,FCEQN-5230,S,0,A,2000,05/12/2010
173,FCEQN,147,FCEQN-5147,S,0,A,2000,01/12/2010
174,FCEQN,102,FCEQN-5335,S,0,A,2005,11/12/2010
175,FCEQN,104,FCEQN-5455,S,0,A,2005,12/13/2010
176,FCEQN,106,FCEQN-5483,S,0,A,2008,10/05/2011
177,FCEQN,102,FCEQN-5279,S,0,A,2005,06/12/2010
178,FCEQN,114,FCEQN-5805,S,0,A,2005,10/05/2011
179,FCEQN,114,2920,S,0,A,2005,10/05/2011
180,FCEQN,114,1024,S,0,A,2005,10/05/2011
181,FCEQN,102,FCEQN-5724,S,0,A,2005,02/02/2011
182,FCEQN,104,FCEQN-5188,S,0,A,2005,04/12/2010
183,FCEQN,147,FCEQN-5137,S,0,A,2000,11/30/2010
184,FCEQN,147,FCEQN-5198,S,0,A,2000,04/12/2010
185,FCEQN,114,5107,S,0,A,2005,05/14/2011
186,FCEQN,114,FCEQN-5807,S,0,A,2005,05/14/2011
187,FCEQN,102,FCEQN-5746,S,0,A,2005,07/02/2011
188,FCEQN,147,FCEQN-5733,S,0,A,2000,05/02/2011
189,FCEQN,114,FCEQN-5808,S,0,A,2005,05/16/2011
190,FCEQN,104,FCEQN-5129,S,0,A,2005,11/29/2010
191,FCEQN,104,FCEQN-5284,S,0,A,2005,07/12/2010
192,FCEQN,106,FCEQN-5363,S,0,A,2008,05/15/2011
193,FCEQN,147,FCEQN-5433,S,0,A,2000,12/12/2010
194,FCEQN,104,FCEQN-5531,S,0,A,2005,12/14/2010
195,FCEQN,102,FCEQN-3536,S,1,A,2007,12/12/2007
196,FCEQN,147,FCEQN-1751,S,1,A,2000,12/26/2005
197,FCEQN,102,FCEQN-758,S,1,A,2005,03/05/2004
198,FCEQN,143,FCEQN-4512,S,1,A,2008,04/13/2009
199,FCEQN,102,FCEQN-4,S,0,A,2005,08/23/2011
200,FCEQN,147,FCEQN-4889,S,0,P,2000,04/20/2010
201,FCEQN,114,FCEQN-5814,S,0,A,2005,05/09/2011
202,FCEQN,147,4470,S,2,A,2000,01/03/2000
203,FCEQN,101,4865,S,2,A,2004,08/02/1995
204,FCEQN,104,3260,S,0,A,2005,01/03/2000
205,FCEQN,104,FCEQN-600,S,0,A,2005,01/03/2010
206,FCEQN,104,FCEQN-5686,S,0,A,2005,01/02/2011
207,FCEQN,104,309,S,0,A,2005,02/03/2011
208,FCEQN,104,FCEQN-5773,S,0,A,2005,03/29/2011
209,FCEQN,104,FCEQN-5342,S,0,A,2005,11/12/2010
210,FCEQN,104,FCEQN-5504,S,0,A,2005,12/14/2010
211,FCEQN,104,FCEQN-5250,S,0,A,2005,05/12/2010
212,FCEQN,104,FCEQN-5155,S,0,A,2005,01/12/2010
213,FCEQN,104,FCEQN-5232,S,0,A,2005,05/12/2010
214,FCEQN,104,FCEQN-5148,S,0,A,2005,01/12/2010
215,FCEQN,104,FCEQN-5478,S,0,A,2005,12/13/2010
216,FCEQN,104,FCEQN-5713,S,0,A,2005,02/02/2011
217,FCEQN,104,FCEQN-5317,S,0,A,2005,07/12/2010
218,FCEQN,104,FCEQN-5458,S,0,A,2005,12/13/2010
219,FCEQN,104,FCEQN-5321,S,0,A,2005,11/12/2010
220,FCEQN,104,FCEQN-5418,S,0,A,2005,12/12/2010
221,FCEQN,104,FCEQN-5153,S,0,A,2005,01/12/2010
222,FCEQN,104,FCEQN-5469,S,0,A,2005,12/13/2010
223,FCEQN,104,FCEQN-5162,S,0,A,2005,01/12/2010
224,FCEQN,104,FCEQN-5572,S,0,A,2005,12/14/2010
225,FCEQN,104,FCEQN-5215,S,0,A,2005,04/12/2010
226,FCEQN,104,FCEQN-5638,S,0,A,2005,01/30/2011
227,FCEQN,104,FCEQN-5241,S,0,A,2005,05/12/2010
228,FCEQN,104,FCEQN-5169,S,0,A,2005,01/12/2010
229,FCEQN,104,FCEQN-5355,S,0,A,2005,11/12/2010
230,FCEQN,102,1382,S,2,A,2005,10/02/1998
231,FCEQN,102,1767,S,0,A,2005,02/19/2003
232,FCEQN,102,FCEQN-731,S,0,A,2005,02/05/2004
233,FCEQN,102,FCEQN-604,S,0,A,2005,04/26/2004
234,FCEQN,102,FCEQN-888,S,0,A,2005,02/05/2005
235,FCEQN,102,FCEQN-1434,S,0,A,2005,06/13/2005
236,FCEQN,102,FCEQN-3657,S,0,A,2005,12/17/2007
237,FCEQN,102,FCEQN-1618,S,1,A,2005,12/12/2005
238,FCEQN,102,FCEQN-2296,S,1,A,2005,02/12/2006
239,FCEQN,102,FCEQN-2298,S,0,A,2005,02/12/2006
240,FCEQN,102,FCEQN-2462,S,0,A,2005,10/12/2006
241,FCEQN,102,FCEQN-2615,S,0,A,2005,12/18/2006
242,FCEQN,102,FCEQN-2645,S,0,A,2005,12/18/2006
243,FCEQN,102,FCEQN-2721,S,0,A,2005,12/20/2006
244,FCEQN,102,FCEQN-3034,S,0,A,2005,04/03/2007
245,FCEQN,102,FCEQN-4195,S,0,A,2005,03/29/2009
246,FCEQN,102,FCEQN-4281,S,0,A,2005,05/04/2009
247,FCEQN,102,FCEQN-4956,S,0,A,2005,04/25/2010
248,FCEQN,102,FCEQN-4958,S,0,A,2005,04/25/2010
249,FCEQN,102,FCEQN-4987,S,0,A,2005,04/26/2010
250,FCEQN,102,FCEQN-5030,S,0,A,2005,04/28/2010
251,FCEQN,102,FCEQN-5768,S,0,A,2005,01/03/2011
252,FCEQN,102,FCEQN-5249,S,0,A,2005,05/12/2010
253,FCEQN,102,FCEQN-5538,S,0,A,2005,12/14/2010
254,FCEQN,102,FCEQN-5566,S,0,A,2005,12/14/2010
255,FCEQN,102,FCEQN-5444,S,0,A,2005,12/13/2010
256,FCEQN,102,FCEQN-5792,S,0,A,2005,04/20/2011
257,FCEQN,102,FCEQN-5645,S,0,A,2005,01/30/2011
258,FCEQN,102,FCEQN-5185,S,0,A,2005,01/12/2010
259,FCEQN,102,FCEQN-5459,S,0,A,2005,12/13/2010
260,FCEQN,102,FCEQN-5263,S,0,A,2005,06/12/2010
261,FCEQN,102,FCEQN-5318,S,0,A,2005,11/12/2010
262,FCEQN,102,FCEQN-5625,S,0,A,2005,12/19/2010
263,FCEQN,102,FCEQN-5431,S,0,A,2005,12/12/2010
264,FCEQN,172,FCEQN-1213,S,0,E,2005,11/05/2005
265,FCEQN,103,840,S,0,E,2005,03/15/2009
266,FCEQN,104,FCEQN-3074,S,0,A,2012,02/27/2012
267,FCEQN,143,FCEQN-2318,S,0,A,2008,02/29/2012
268,FCEQN,104,FCEQN-2623,S,0,A,2012,02/18/2012
269,FCEQN,106,FCEQN-4455,S,0,A,2008,04/03/2012
270,FCEQN,106,FCEQN-4359,S,0,A,2008,05/03/2012
271,FCEQN,170,FCEQN-3460,S,0,A,2005,07/03/2012
272,FCEQN,172,FCEQN-4595,S,0,A,2005,02/18/2012
273,FCEQN,101,FCEQN-4835,S,0,A,2007,10/03/2012
274,FCEQN,170,FCEQN-1681,S,0,A,2005,10/03/2012
275,FCEQN,143,FCEQN-2653,S,0,A,2008,11/03/2012
276,FCEQN,172,FCEQN-3667,S,0,A,2005,02/22/2012
277,FCEQN,170,FCEQN-1532,S,0,A,2005,11/03/2012
278,FCEQN,106,FCEQN-3467,S,0,A,2008,03/25/2012
279,FCEQN,104,FCEQN-1549,S,0,A,2012,03/26/2012
280,FCEQN,172,FCEQN-6432,S,0,A,2005,03/27/2012
281,FCEQN,105,FCEQN-4284,S,0,A,2008,03/28/2012
282,FCEQN,170,5204,S,0,A,2005,12/14/2010
283,FCEQN,172,FCEQN-1829,S,0,A,2005,03/28/2012
284,FCEQN,101,FCEQN-6101,S,0,A,2007,12/12/2011
285,FCEQN,147,FCEQN-6257,S,0,A,2000,12/17/2011
286,FCEQN,104,FCEQN-6148,S,0,A,2012,12/13/2011
287,FCEQN,172,FCEQN-6149,S,0,A,2005,12/13/2011
288,FCEQN,147,FCEQN-5476,S,0,A,2000,12/13/2010
289,FCEQN,101,FCEQN-5981,S,0,A,2007,06/12/2011
290,FCEQN,101,FCEQN-5926,S,0,A,2007,04/12/2011
291,FCEQN,172,FCEQN-6180,S,0,A,2005,12/14/2011
292,FCEQN,101,FCEQN-6158,S,0,A,2007,12/13/2011
293,FCEQN,101,FCEQN-5967,S,0,A,2007,06/12/2011
294,FCEQN,104,FCEQN-6046,S,0,A,2012,11/12/2011
295,FCEQN,172,FCEQN-6410,S,0,A,2005,02/13/2012
296,FCEQN,102,FCEQN-5882,S,0,A,2012,03/12/2011
297,FCEQN,101,FCEQN-5911,S,0,A,2007,04/12/2011
298,FCEQN,101,FCEQN-6319,S,0,A,2007,01/31/2012
299,FCEQN,104,FCEQN-5946,S,0,A,2012,05/12/2011
300,FCEQN,147,FCEQN-6073,S,0,A,2000,12/12/2011
301,FCEQN,147,FCEQN-6311,S,0,A,2000,03/04/2012
302,FCEQN,101,FCEQN-6061,S,0,A,2007,11/12/2011
303,FCEQN,147,FCEQN-5936,S,0,A,2000,05/12/2011
304,FCEQN,101,FCEQN-5995,S,0,A,2007,07/12/2011
305,FCEQN,147,FCEQN-6107,S,0,A,2000,12/12/2011
306,FCEQN,102,FCEQN-5948,S,0,A,2012,05/12/2011
307,FCEQN,147,FCEQN-5877,S,0,A,2000,03/12/2011
308,FCEQN,147,FCEQN-6125,S,0,A,2000,12/13/2011
309,FCEQN,147,FCEQN-5969,S,0,A,2000,06/12/2011
310,FCEQN,147,FCEQN-6000,S,0,A,2000,07/12/2011
311,FCEQN,172,FCEQN-6066,S,0,A,2005,12/12/2011
312,FCEQN,172,FCEQN-6090,S,0,A,2005,12/12/2011
313,FCEQN,147,FCEQN-6268,S,0,A,2000,12/17/2011
314,FCEQN,143,FCEQN-941,S,0,A,2008,03/04/2012
315,FCEQN,170,FCEQN-5897,S,0,A,2005,03/12/2011
316,FCEQN,147,FCEQN-5970,S,0,A,2000,06/12/2011
317,FCEQN,172,FCEQN-5860,S,0,A,2005,11/29/2011
318,FCEQN,172,FCEQN-5669,S,0,A,2005,04/04/2012
319,FCEQN,147,FCEQN-6071,S,0,A,2000,12/12/2011
320,FCEQN,147,FCEQN-6104,S,0,A,2000,12/12/2011
321,FCEQN,101,FCEQN-5929,S,0,A,2007,05/12/2011
322,FCEQN,101,FCEQN-6151,S,0,A,2007,12/13/2011
323,FCEQN,143,FCEQN-6183,S,0,A,2008,12/14/2011
324,FCEQN,101,FCEQN-6360,S,0,A,2007,06/02/2012
325,FCEQN,147,FCEQN-6114,S,0,A,2000,12/12/2011
326,FCEQN,172,FCEQN-5823,S,0,A,2005,11/27/2011
327,FCEQN,104,FCEQN-6137,S,0,A,2012,12/13/2011
328,FCEQN,147,FCEQN-6152,S,0,A,2000,12/13/2011
329,FCEQN,147,FCEQN-6226,S,0,A,2000,12/14/2011
330,FCEQN,101,FCEQN-6169,S,0,A,2007,12/13/2011
331,FCEQN,147,FCEQN-6129,S,0,A,2000,12/13/2011
332,FCEQN,147,FCEQN-6366,S,0,A,2000,07/02/2012
333,FCEQN,172,FCEQN-6342,S,0,A,2005,05/02/2012
334,FCEQN,114,5101,S,0,A,2005,07/04/2012
335,FCEQN,143,FCEQN-5978,S,0,A,2008,06/12/2011
336,FCEQN,101,FCEQN-6199,S,0,A,2007,12/14/2011
337,FCEQN,102,FCEQN-6312,S,0,A,2012,01/30/2012
338,FCEQN,101,FCEQN-6448,S,0,A,2007,04/04/2012
339,FCEQN,143,FCEQN-5982,S,0,A,2008,10/04/2012
340,FCEQN,172,FCEQN-6356,S,0,A,2005,06/02/2012
341,FCEQN,106,FCEQN-4628,S,0,A,2008,04/24/2010
342,FCEQN,106,FCEQN-5072,S,0,A,2008,05/15/2010
343,FCEQN,106,FCEQN-5210,S,0,A,2008,04/12/2010
344,FCEQN,106,FCEQN-5119,S,0,A,2008,04/18/2011
345,FCEQN,106,FCEQN-5353,S,0,A,2008,04/17/2011
346,FCEQN,102,FCEQN-5225,S,0,A,2012,05/12/2010
347,FCEQN,102,FCEQN-5427,S,0,A,2012,12/12/2010
348,FCEQN,102,FCEQN-5879,S,0,A,2012,03/12/2011
349,FCEQN,102,FCEQN-6284,S,0,A,2012,12/19/2011
350,FCEQN,104,FCEQN-6422,S,0,A,2012,02/28/2012
351,FCEQN,104,1451,S,0,A,2012,03/27/2012
352,FCEQN,104,FCEQN-5833,S,0,A,2012,11/28/2011
353,FCEQN,104,FCEQN-6326,S,0,A,2012,01/02/2012
354,FCEQN,104,FCEQN-5928,S,0,A,2012,04/12/2011
355,FCEQN,104,FCEQN-5818,S,0,A,2012,11/27/2011
356,FCEQN,104,FCEQN-6038,S,0,A,2012,11/12/2011
357,FCEQN,104,FCEQN-6179,S,0,A,2012,12/14/2011
358,FCEQN,104,FCEQN-6051,S,0,A,2012,11/12/2011
359,FCEQN,147,FCEQN-5985,S,0,A,2000,07/12/2011
360,FCEQN,102,FCEQN-6339,S,0,A,2011,04/02/2012
361,FCEQN,106,FCEQN-6464,S,0,A,2012,04/14/2012
362,FCEQN,143,FCEQN-6115,S,0,A,2008,12/13/2011
363,FCEQN,106,FCEQN-6466,S,0,A,2012,04/14/2012
364,FCEQN,101,FCEQN-6420,S,0,A,2007,02/25/2012
365,FCEQN,102,FCEQN-6223,S,0,A,2011,12/14/2011
366,FCEQN,147,FCEQN-6123,S,0,A,2000,12/13/2011
367,FCEQN,102,FCEQN-5958,S,0,A,2011,06/12/2011
368,FCEQN,104,FCEQN-5853,S,0,A,2011,11/29/2011
369,FCEQN,104,FCEQN-5852,S,0,A,2011,11/29/2011
370,FCEQN,147,FCEQN-6372,S,0,A,2000,07/02/2012
371,FCEQN,147,FCEQN-6250,S,0,A,2000,12/14/2011
372,FCEQN,102,FCEQN-5845,S,0,A,2011,11/28/2011
373,FCEQN,101,FCEQN-5728,S,0,A,2007,12/13/2011
374,FCEQN,104,FCEQN-6077,S,0,A,2011,12/12/2011
375,FCEQN,147,FCEQN-6235,S,0,A,2000,12/14/2011
376,FCEQN,104,FCEQN-6016,S,0,A,2011,07/12/2011
377,FCEQN,101,FCEQN-6064,S,0,A,2007,11/12/2011
378,FCEQN,102,FCEQN-6063,S,0,A,2011,11/12/2011
379,FCEQN,172,FCEQN-5840,S,0,A,2005,11/28/2011
380,FCEQN,102,FCEQN-6052,S,0,A,2011,11/12/2011
381,FCEQN,104,FCEQN-5827,S,0,A,2011,11/27/2011
382,FCEQN,101,FCEQN-5859,S,0,A,2007,11/29/2011
383,FCEQN,172,FCEQN-6237,S,0,A,2005,12/14/2011
384,FCEQN,101,FCEQN-6467,S,0,A,2007,04/14/2012
385,FCEQN,104,FCEQN-5919,S,0,A,2011,04/12/2011
386,FCEQN,172,FCEQN-5965,S,0,A,2005,06/12/2011
387,FCEQN,170,FCEQN-5979,S,0,A,2005,06/12/2011
388,FCEQN,172,FCEQN-6174,S,0,A,2005,12/13/2011
389,FCEQN,101,FCEQN-6455,S,0,A,2007,07/04/2012
390,FCEQN,102,FCEQN-5976,S,0,A,2011,06/12/2011
391,FCEQN,172,FCEQN-6068,S,0,A,2005,12/12/2011
392,FCEQN,104,FCEQN-5874,S,0,A,2011,03/12/2011
393,FCEQN,102,FCEQN-6207,S,0,A,2011,12/14/2011
394,FCEQN,106,FCEQN-6460,S,0,A,2012,04/14/2012
395,FCEQN,105,FCEQN-1810,S,0,A,2008,04/14/2012
396,FCEQN,106,FCEQN-6468,S,0,A,2012,04/14/2012
397,FCEQN,104,FCEQN-6042,S,0,A,2011,11/12/2011
